lon,lat,depth,strike,dip,dz1,dz2,dz3,thickness
121.92,22.97,171.46,2.73,74.97,19.86,3.98,-2.51,82.05
121.92,22.95,171.46,2.20,74.97,19.88,3.98,-1.92,82.05
121.92,22.93,171.46,1.68,74.96,19.91,3.98,-1.35,82.04
121.92,22.91,171.46,1.16,74.96,19.95,3.98,-0.79,82.03
121.92,22.89,171.46,0.64,74.95,20.01,3.98,-0.26,82.01
121.92,22.87,171.46,0.14,74.95,20.09,3.98,0.25,82.00
121.92,22.85,171.46,359.64,74.95,20.17,3.98,0.74,81.97
121.92,22.83,171.46,359.14,74.94,20.28,3.98,1.21,81.95
121.92,22.81,171.46,358.66,74.94,20.39,3.98,1.66,81.92
121.92,22.79,171.46,358.19,74.93,20.52,3.98,2.09,81.89
121.92,22.77,171.46,357.74,74.93,20.66,3.98,2.51,81.85
121.92,22.75,171.46,357.29,74.92,20.81,3.98,2.67,81.82
121.92,22.73,171.46,356.86,74.92,20.98,3.98,2.70,81.78
121.92,22.71,171.46,356.45,74.91,21.15,3.97,2.72,81.73
121.92,22.69,171.46,356.05,74.90,21.33,3.97,2.72,81.69
121.92,22.67,171.46,355.67,74.88,21.52,3.97,2.70,81.64
121.93,22.65,171.46,355.30,74.87,21.71,3.97,2.66,81.59
121.93,22.62,171.46,354.94,74.85,21.91,3.97,2.62,81.54
121.93,22.60,171.46,354.61,74.83,22.10,3.97,2.56,81.48
121.93,22.58,171.46,354.29,74.81,22.30,3.97,2.48,81.43
121.93,22.56,171.46,353.98,74.79,22.50,3.96,2.40,81.37
121.93,22.54,171.46,353.69,74.76,22.70,3.96,2.33,81.31
121.94,22.52,171.46,353.42,74.73,22.89,3.96,2.31,81.25
121.94,22.50,171.46,353.16,74.70,23.08,3.96,2.29,81.19
121.94,22.48,171.46,352.91,74.67,23.25,3.96,2.25,81.13
121.94,22.46,171.46,352.68,74.64,23.42,3.95,2.21,81.07
121.95,22.44,171.46,352.47,74.61,23.57,3.95,2.15,81.00
121.95,22.42,171.46,352.26,74.58,23.72,3.95,2.09,80.94
121.95,22.40,171.46,352.07,74.55,23.84,3.95,2.02,80.87
121.95,22.38,171.46,351.89,74.52,23.95,3.94,1.94,80.81
121.96,22.36,171.46,351.71,74.49,24.05,3.94,1.85,80.75
121.96,22.34,171.46,351.55,74.47,24.13,3.94,1.76,80.68
121.96,22.32,171.46,351.39,74.45,24.19,3.94,1.72,80.62
121.97,22.30,171.46,351.24,74.42,24.23,3.93,1.66,80.55
121.97,22.28,171.46,351.10,74.41,24.26,3.93,1.60,80.49
121.97,22.26,171.46,350.96,74.39,24.26,3.93,1.54,80.42
121.98,22.24,171.46,350.82,74.38,24.26,3.93,1.47,80.36
121.98,22.22,171.46,350.68,74.38,24.23,3.92,1.39,80.30
121.98,22.20,171.46,350.54,74.37,24.19,3.92,1.31,80.24
121.99,22.18,171.46,350.40,74.38,24.14,3.92,1.22,80.18
121.99,22.16,171.46,350.25,74.38,24.07,3.92,1.13,80.12
121.99,22.14,171.46,350.10,74.39,23.99,3.91,1.03,80.06
122.00,22.12,171.46,349.94,74.40,23.91,3.91,1.18,80.00
122.00,22.10,171.46,349.78,74.42,23.81,3.91,1.45,79.95
122.00,22.08,171.46,349.60,74.44,23.72,3.91,1.70,79.89
122.01,22.06,171.46,349.42,74.46,23.61,3.91,1.96,79.84
122.01,22.04,171.46,349.22,74.49,23.51,3.90,2.20,79.79
122.02,22.02,171.46,349.02,74.51,23.40,3.90,2.44,79.73
122.02,22.00,171.46,348.80,74.54,23.30,3.90,2.67,79.68
122.02,21.98,171.46,348.57,74.56,23.19,3.90,2.88,79.64
122.03,21.96,171.46,348.32,74.59,23.10,3.90,3.09,79.59
122.03,21.94,171.46,348.07,74.61,23.00,3.89,3.29,79.55
122.04,21.92,171.46,347.80,74.64,22.92,3.89,3.27,79.50
122.04,21.90,171.46,347.52,74.65,22.84,3.89,2.83,79.46
122.05,21.88,171.46,347.24,74.67,22.77,3.89,2.38,79.42
122.05,21.86,171.46,346.94,74.68,22.71,3.89,1.91,79.38
122.06,21.84,171.46,346.63,74.69,22.66,3.89,1.43,79.34
122.06,21.82,171.46,346.32,74.69,22.61,3.89,0.94,79.30
122.07,21.80,171.46,346.01,74.69,22.58,3.89,0.44,79.27
122.07,21.77,171.46,345.69,74.68,22.55,3.88,-0.08,79.23
122.08,21.75,171.46,345.37,74.66,22.53,3.88,-0.61,79.19
122.08,21.73,171.46,345.06,74.63,22.52,3.88,-1.16,79.16
122.09,21.71,171.46,344.75,74.60,22.52,3.88,-1.72,79.13
122.09,21.69,171.46,344.44,74.55,22.52,3.88,-1.51,79.09
122.10,21.67,171.46,344.14,74.50,22.53,3.88,-1.31,79.06
122.11,21.65,171.46,343.86,74.44,22.54,3.88,-1.13,79.03
122.11,21.63,171.46,343.58,74.37,22.56,3.88,-0.95,78.99
122.12,21.61,171.46,343.32,74.29,22.57,3.88,-0.79,78.96
122.12,21.59,171.46,343.08,74.20,22.59,3.88,-0.64,78.93
122.13,21.57,171.46,342.85,74.10,22.62,3.87,-0.50,78.89
122.14,21.55,171.46,342.65,73.99,22.64,3.87,-0.37,78.85
122.14,21.53,171.46,342.47,73.87,22.66,3.87,-0.25,78.82
122.15,21.51,171.46,342.31,73.74,22.67,3.87,-0.14,78.78
122.16,21.49,171.46,342.17,73.61,22.69,3.87,0.32,78.74
122.16,21.47,171.46,342.07,73.46,22.70,3.87,0.96,78.70
122.17,21.45,171.46,341.98,73.30,22.71,3.87,1.58,78.65
122.18,21.43,171.46,341.93,73.14,22.72,3.86,2.21,78.61
122.18,21.41,171.46,341.90,72.97,22.72,3.86,2.83,78.56
122.19,21.39,171.46,341.90,72.80,22.71,3.86,3.45,78.51
122.20,21.37,171.46,341.93,72.61,22.71,3.86,4.08,78.46
122.21,21.35,171.46,341.99,72.42,22.69,3.85,4.70,78.41
122.21,21.33,171.46,342.07,72.23,22.68,3.85,5.33,78.35
122.22,21.30,171.46,342.18,72.03,22.65,3.85,5.96,78.29
122.23,21.28,171.46,342.32,71.83,22.63,3.85,6.42,78.22
122.23,21.26,171.46,342.48,71.62,22.60,3.84,6.53,78.16
122.24,21.24,171.46,342.66,71.41,22.56,3.84,6.64,78.09
122.25,21.22,171.46,342.86,71.20,22.53,3.84,6.76,78.02
122.25,21.20,171.46,343.08,70.99,22.49,3.83,6.90,77.94
122.26,21.18,171.46,343.32,70.78,22.44,3.83,7.04,77.87
122.26,21.16,171.46,343.58,70.57,22.40,3.83,7.19,77.79
122.27,21.14,171.46,343.84,70.36,22.35,3.82,7.36,77.70
