lon,lat,depth,strike,dip,dz1,dz2,dz3,thickness
157.37,-7.54,205.81,306.33,84.19,21.11,6.39,0.03,129.79
157.36,-7.52,205.81,306.67,84.22,21.33,6.41,-0.24,130.00
157.34,-7.51,205.81,306.99,84.26,21.54,6.43,-0.51,130.21
157.32,-7.50,205.81,307.30,84.31,21.74,6.45,-0.75,130.41
157.30,-7.49,205.81,307.60,84.36,21.93,6.46,-0.99,130.60
157.29,-7.47,205.81,307.89,84.42,22.11,6.48,-1.21,130.78
157.27,-7.46,205.81,308.16,84.49,22.28,6.50,-1.42,130.95
157.25,-7.45,205.81,308.41,84.56,22.44,6.51,-1.61,131.11
157.24,-7.44,205.81,308.65,84.64,22.60,6.52,-1.80,131.26
157.22,-7.42,205.81,308.87,84.72,22.75,6.54,-1.98,131.41
157.20,-7.41,205.81,309.08,84.81,22.88,6.55,-2.14,131.54
157.18,-7.40,205.81,309.27,84.91,23.01,6.56,-2.28,131.66
157.17,-7.39,205.81,309.44,85.01,23.13,6.57,-2.41,131.77
157.15,-7.37,205.81,309.60,85.11,23.23,6.57,-2.53,131.88
157.13,-7.36,205.81,309.74,85.22,23.32,6.58,-2.64,131.98
157.12,-7.35,205.81,309.87,85.33,23.39,6.59,-2.75,132.07
157.10,-7.33,205.81,309.98,85.44,23.45,6.59,-2.86,132.16
157.08,-7.32,205.81,310.07,85.55,23.49,6.60,-2.95,132.24
157.06,-7.31,205.81,310.15,85.67,23.52,6.60,-3.05,132.32
157.05,-7.29,205.81,310.22,85.78,23.53,6.61,-3.14,132.39
157.03,-7.28,205.81,310.27,85.90,23.52,6.61,-3.23,132.46
157.01,-7.27,205.81,310.30,86.01,23.50,6.62,-3.45,132.53
157.00,-7.25,205.81,310.32,86.12,23.46,6.62,-3.70,132.60
156.98,-7.24,205.81,310.33,86.23,23.41,6.63,-3.96,132.66
156.96,-7.23,205.81,310.33,86.33,23.36,6.63,-4.22,132.73
156.95,-7.21,205.81,310.31,86.43,23.29,6.63,-4.47,132.80
156.93,-7.20,205.81,310.28,86.53,23.22,6.64,-4.73,132.86
156.91,-7.19,205.81,310.24,86.62,23.16,6.64,-4.99,132.93
156.89,-7.17,205.81,310.19,86.70,23.09,6.64,-5.25,132.99
156.88,-7.16,205.81,310.14,86.78,23.03,6.65,-5.52,133.06
156.86,-7.15,205.81,310.07,86.85,22.99,6.65,-5.78,133.13
156.84,-7.13,205.81,310.00,86.92,22.96,6.65,-5.81,133.20
156.83,-7.12,205.81,309.93,86.97,22.95,6.66,-5.68,133.27
156.81,-7.11,205.81,309.85,87.02,22.97,6.66,-5.55,133.34
156.79,-7.09,205.81,309.78,87.06,23.01,6.66,-5.43,133.41
156.78,-7.08,205.81,309.71,87.10,23.08,6.67,-5.30,133.48
156.76,-7.07,205.81,309.64,87.12,23.19,6.67,-5.18,133.55
156.74,-7.05,205.81,309.59,87.13,23.32,6.68,-5.07,133.62
156.72,-7.04,205.81,309.55,87.13,23.49,6.68,-4.95,133.69
157.46,-7.59,208.04,304.38,84.39,19.58,6.28,-0.21,128.64
157.45,-7.58,208.04,304.76,84.40,19.87,6.30,-0.20,128.88
157.43,-7.57,208.04,305.14,84.42,20.15,6.33,-0.18,129.12
157.41,-7.56,208.04,305.50,84.45,20.43,6.35,-0.15,129.36
157.39,-7.54,208.04,305.86,84.48,20.68,6.37,-0.09,129.59
157.38,-7.53,208.04,306.20,84.52,20.93,6.39,-0.08,129.81
157.36,-7.52,208.04,306.53,84.56,21.17,6.41,-0.37,130.03
157.34,-7.51,208.04,306.86,84.62,21.40,6.43,-0.65,130.24
157.32,-7.50,208.04,307.16,84.68,21.62,6.45,-0.92,130.44
157.31,-7.48,208.04,307.46,84.74,21.82,6.47,-1.18,130.63
157.29,-7.47,208.04,307.74,84.81,22.02,6.49,-1.42,130.81
