,total_peridotite
0,0.0
1,764.9440163896624
2,90602.99163193896
3,79232.08452633956
4,79073.09068281019
5,136724.29519391482
6,6223.847283094991
7,0.0
8,0.0
9,6172.508171086849
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,313339.0744188061
20,178021.0599397347
21,32459.475160721893
22,72118.50746853561
23,42505.1882211289
24,27257.004310367334
25,15819.309114187414
26,12598.626219462998
27,3011.342656379476
28,0.0
29,0.0
30,15976.179826153599
31,13203.297485192308
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,154543.5572514682
39,126735.18575546308
40,176763.90841289787
41,153857.9142454453
42,157570.49798803616
43,25003.797623327417
44,1113.0214113162056
45,21526.524911349738
46,44635.460113503475
47,4356.193491948027
48,0.0
49,0.0
50,3685.772925878492
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,234285.26601059138
58,132015.67379784884
59,124089.24978911821
60,147485.75816567405
61,42024.76256285872
62,126940.0330193741
63,49814.76729999299
64,1410.3604349317538
65,20643.6695454109
66,12378.703928657404
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,207246.3001209302
77,80470.358147966
78,132171.06827057645
79,97563.6870552082
80,86014.34482946055
81,70741.25087898098
82,40958.11194757742
83,21415.376653566702
84,5584.000722700092
85,11357.336937938107
86,1001.7688429302949
87,0.0
88,0.0
89,0.0
90,0.0
91,6080.90785493968
92,0.0
93,0.0
94,0.0
95,20767.87668910256
96,10943.637902854203
97,50759.963828480126
98,107093.6053158768
99,115167.74970024043
100,80171.84787417282
101,104037.58252232066
102,45098.362773085
103,10408.355416636348
104,9067.181878523865
105,27049.436766326755
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,7017.328458455251
112,1078.9483793722811
113,0.0
114,31326.645525591564
115,18026.60865507196
116,28031.32239341038
117,10909.874835477154
118,16581.60105387805
119,140978.58352469106
120,53801.990201662215
121,38056.377882459354
122,52451.55700326465
123,36662.39875141706
124,33964.20154092485
125,3834.534365851924
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,18498.85212247756
132,14330.537180741027
133,0.0
134,0.0
135,11620.639177159033
136,5358.357365158715
137,19536.383513252054
138,17743.233160717165
139,51143.92456773581
140,46288.43275307051
141,25897.267721267603
142,24806.45882869611
143,12488.312498740592
144,11993.648469476742
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,6797.245707276923
156,807.4245229251295
157,19408.977001183386
158,16178.358783085814
159,59002.21307095421
160,41274.53410859748
161,17364.91875520124
162,25355.156334844436
163,20125.253761176285
164,20164.04315538439
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,30950.757964487035
172,38541.48056148511
173,5594.208396403994
174,8765.157060148822
175,10481.254045703727
176,2590.2963021439623
177,9484.585352153015
178,35184.088906895595
179,44242.488709507415
180,9927.63677465907
181,15140.310503067714
182,17132.107755686633
183,21608.19622893263
184,16715.202784527322
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,14535.866908400618
191,21504.664738607957
192,13658.68776874423
193,0.0
194,0.0
195,4450.654346779678
196,3167.8931991538525
197,35942.767526635835
198,9846.746430508812
199,64633.741772661655
200,14962.67371129876
201,11045.789674005266
202,4025.5447525106697
203,7275.935011268382
204,4850.710297244708
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,9498.68038179754
212,1493.643415855617
213,0.0
214,1522.8981217527776
215,2444.926968797397
216,39841.46794485675
217,25234.969762629044
218,15012.319529217973
219,44610.016846909675
220,2851.38007389601
221,30678.745881592193
222,9767.42666612792
223,2791.1348855412753
224,23309.850150291288
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,5590.436992461394
234,2507.4642338341027
235,25359.146157816584
236,35346.96345359622
237,17811.70817413454
238,20069.961537389452
239,45050.973226995695
240,7250.905567380802
241,33798.80714963077
242,17232.341971943497
243,44003.752012527766
244,23191.50538123952
245,3323.8361442727037
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,4247.089898606497
254,8411.93845884988
255,16294.064776509664
256,14179.31064171968
257,15590.445209784924
258,24069.055575206425
259,18953.55308214249
260,6507.456230593436
261,13243.444746360863
262,6754.361621778201
263,13725.243858434505
264,33885.417461970974
265,12832.709590948
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,2649.7009273563444
273,3509.875852457791
274,5685.501351847347
275,20644.36958320269
276,15135.714577773762
277,18855.68449174269
278,29496.39061482441
279,30810.98083675734
280,28264.15006468243
281,5457.214571883227
282,47776.98327683044
283,8737.197281599234
284,7664.282558474941
285,0.0
286,0.0
287,0.0
288,0.0
289,706.6235107400306
290,0.0
291,0.0
292,4655.303313892431
293,4763.288587436724
294,1622.1691417032316
295,55027.58938643792
296,4309.435894815964
297,27275.886016330674
298,14736.822707760883
299,14599.185065196118
300,24943.706626399642
301,6028.831063059111
302,20413.26168879258
303,18000.962437192175
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,2215.229507911032
312,1198.6869571605937
313,0.0
314,11667.90125196763
315,47771.608897376376
316,23585.89856418396
317,4809.911800026688
318,10694.621517381633
319,18128.832016845077
320,26015.443267269242
321,9049.08539969793
322,5913.970814014812
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,475.60505129672987
330,0.0
331,8036.364714641865
332,5993.841432855305
333,0.0
334,13053.019465951613
335,31964.017699923097
336,9309.701948739097
337,2462.142447051373
338,5595.580757866698
339,16935.35090396642
340,21218.820035538407
341,12675.568021369325
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,6765.952337457049
351,3762.28215130592
352,1143.1706287907969
353,2683.466534719987
354,5415.2596141630465
355,3687.2495436191957
356,3311.1231274434426
357,6916.258062522812
358,14159.381407903875
359,6239.269901855365
360,4222.437589927771
