,total_peridotite
0,0.0
1,0.0
2,0.0
3,0.0
4,31893.46953673146
5,39445.717576986586
6,26839.632629243213
7,0.0
8,14339.515228209975
9,49183.263983591314
10,36288.32380273549
11,7015.699626427722
12,543.2897660293208
13,0.0
14,0.0
15,0.0
16,4327.183770179002
17,4370.572687585262
18,3813.587919588052
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,38842.061795840724
45,39141.0671762884
46,15056.430367902007
47,43421.02867684746
48,10762.756319670463
49,11619.716547368807
50,42652.59790822836
51,8122.952203077947
52,6588.529252614944
53,0.0
54,0.0
55,0.0
56,0.0
57,814.1233106784643
58,11264.246808204436
59,2274.782403823821
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,34327.62138043096
85,52937.044677529506
86,5232.090256948562
87,2856.3449578789528
88,853.5434965953937
89,8117.227368157601
90,4729.297739912619
91,7553.140364562024
92,14856.362876838697
93,9838.500474294397
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,55559.5605203018
118,41000.49911466107
119,63492.55593766832
120,36222.60410396227
121,13187.530741925868
122,0.0
123,0.0
124,27367.55976990119
125,34852.75033710029
126,1024.7528527895654
127,13522.066752647133
128,4579.950030418578
129,0.0
130,349.23700542603615
131,4867.781412044584
132,16513.56093941874
133,3286.3242562608048
134,247.05887311103498
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,7581.601263245582
142,15842.967383421152
143,313.57418502085255
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,18859.082635623305
157,20308.36945016437
158,20010.15494587122
159,43881.83946530275
160,61479.36169913538
161,87809.05357620885
162,52024.2770751293
163,0.0
164,1537.187608785533
165,12337.240444004383
166,0.0
167,0.0
168,0.0
169,2497.8698391314347
170,9163.559192410514
171,1334.9250570122645
172,5212.024920654265
173,10183.131991668213
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,6467.416811685409
183,1178.9326266900364
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,1027.9578864014907
197,7593.036882926323
198,54654.41027504149
199,17568.467316286027
200,13417.315535566338
201,14471.435018604938
202,61408.01233436432
203,45771.191541687884
204,22551.523953149266
205,24274.730615921402
206,1390.092954545277
207,3963.2990188831254
208,0.0
209,1479.3798213958482
210,10574.407179863689
211,2948.390416612003
212,4234.2181066693565
213,3746.297078459062
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,1177.230036757779
223,2062.382903265625
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,9418.085079240049
237,3486.1474132917087
238,13852.943906594272
239,14314.760354547056
240,31810.01845009852
241,18411.838990930188
242,9571.736688919616
243,37208.32424771019
244,93068.32816327346
245,11805.356325378156
246,13945.713025098046
247,282.1531101972422
248,0.0
249,766.7873071758056
250,2375.622554415884
251,1656.6158399413825
252,936.9601493207705
253,303.99601385242073
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,1259.04556890096
263,6266.706567410022
264,586.9614874776964
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,14174.242858963964
274,43882.71743159303
275,44109.307878070285
276,60894.99895675866
277,41297.5437122297
278,29571.864242156393
279,57263.925744558794
280,24811.23818425681
281,17833.203776522136
282,10318.71562346374
283,3055.366233076492
284,37205.85209149895
285,34098.282356188975
286,14127.607440509433
287,3875.1597851586794
288,3961.5557536822967
289,2823.8595413377316
290,11577.287754256118
291,13332.214217485407
292,2769.38153369063
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,4248.286133253324
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,7974.207845499511
313,9047.285518019697
314,5061.46933220958
315,5870.173832405643
316,15445.242855268109
317,57950.938678271836
318,51404.25596643474
319,14522.07214381986
320,24421.966669151512
321,8540.089778666636
322,6617.326172276424
323,16139.1182074624
324,7772.916496987343
325,32369.484174926878
326,9517.408183970469
327,0.0
328,4818.73417353612
329,5983.372157565977
330,8622.815850460078
331,10886.344279313475
332,280.8053486439684
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,1791.7902301672189
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,43264.138781950285
352,49670.52670145107
353,53183.25801577321
354,34661.89897012868
355,18271.966887101473
356,6094.901040685106
357,11180.734229927524
358,35220.043032618785
359,59651.16767183924
360,22435.076854956333
361,22390.117195209103
362,7357.404716879747
363,15940.264626241618
364,2626.735689883105
365,13279.703735449102
366,1395.4011045389157
367,1173.056835463437
368,646.7894254949795
369,4059.6738874656508
370,1222.482579955248
371,3546.0021137245753
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,7353.377254471651
384,1195.2064775107651
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,42509.314844475346
396,31261.07349740236
397,5252.280381329324
398,5216.5396480104355
399,20807.989152943956
400,46781.07872432219
401,18109.232408003212
402,15203.663997458743
403,2454.25250629774
404,2100.0935862105252
405,15287.576254327834
406,0.0
407,18434.169972165437
408,10910.000652858693
409,4324.434223651721
410,4033.38850866894
411,1116.6645251964078
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,6306.628459339882
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,2688.2955926327877
430,7102.101339273938
431,4397.8869511066205
432,3479.276922075256
433,5971.927846935284
434,0.0
435,0.0
436,29252.202680803763
