,total_peridotite
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,31468.50776864433
40,21454.59390501791
41,9697.885262811647
42,7470.743917857441
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,66098.08346897448
79,28688.290988133813
80,49441.27945169504
81,14375.516721141576
82,34086.73266711524
83,11865.65634387995
84,8586.245907412704
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,16289.279003490152
118,44147.494919357625
119,44260.75063533205
120,18202.824125329586
121,84532.58121248988
122,34552.354749666236
123,2170.97990086718
124,6240.679927151883
125,8136.323743670259
126,2590.0981915785583
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,220507.44811190257
157,139511.06544206958
158,111542.14773207935
159,76810.10075263534
160,15900.310389134898
161,92227.38981509456
162,32802.39500949763
163,772.777388322083
164,0.0
165,9915.099042389736
166,6929.552963424609
167,4362.415477371184
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,69526.34121010595
199,65939.47645084701
200,49122.12944008146
201,50313.94654646358
202,19805.468506860874
203,22615.865623188012
204,4581.47222083904
205,0.0
206,9362.385462842092
207,628.3515824934433
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,82156.07218076363
235,96163.2996969735
236,73655.79316019581
237,16466.851787208656
238,75044.92073015071
239,11470.96726904289
240,21246.51681927072
241,203.9189283880691
242,14266.121874589415
243,16581.32128238267
244,2233.6469551860764
245,0.0
246,0.0
247,0.0
248,16484.792331610442
249,7878.281213113454
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,29416.31740392161
274,62312.506623679474
275,128240.42289515177
276,120696.73539382442
277,89806.0259528578
278,42063.29188872442
279,14114.419475744991
280,5225.27601216875
281,15478.433166720577
282,12237.228390918739
283,12034.460267065544
284,0.0
285,0.0
286,0.0
287,0.0
288,7021.418725339134
289,3239.612940023404
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,38714.18339611063
313,96401.95712731921
314,53969.768457444254
315,67658.59938043792
316,46961.610075841876
317,99193.11144116185
318,111248.43179148978
319,31844.981636981138
320,1494.9859670253766
321,9627.691338220602
322,19761.165819260466
323,791.6295952979599
324,0.0
325,0.0
326,0.0
327,0.0
328,2454.9172967836976
329,8643.188459487144
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,14146.157581968851
352,16462.925517266118
353,66212.13775273631
354,145901.75437202584
355,58053.004685382904
356,42120.53725347241
357,23322.43144408682
358,60354.358322122775
359,27414.766516447173
360,9556.724434975344
361,22290.154463581497
362,7618.022854877075
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,1262.8940007711592
369,1791.7902301672189
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,86880.27806386491
391,82319.11586220158
392,32260.046398040897
393,65869.65846137478
394,77252.19670128063
395,90619.30986189347
396,41648.56133718297
397,22257.712634237752
398,18898.32460980458
399,6151.597206832576
400,33743.37944639333
401,9557.034536495368
402,2277.89255091628
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,12727.501055234954
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,7754.1984624064135
430,8650.181171865861
431,7540.891964608809
432,11049.93670124139
433,61615.86645291734
434,48800.34602101106
435,66092.34635506786
436,98274.52943226823
437,30556.548964835583
438,21412.118462311268
439,17819.82502225858
440,9111.482861644967
441,8872.89208439825
442,1081.4799310913154
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,2435.782460143041
449,6336.708432723035
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,9416.444463764812
469,7825.648405283752
470,9659.428984168411
471,23505.083203448507
472,4380.009430667463
473,54039.15870755541
474,80983.944706012
475,88021.86643155906
476,63443.34522579836
477,17831.16168320523
478,13325.904626427122
